filename,kadencja,posel,dane Data i miejce urodzenia,dane Wykształcenie,dane Ukończona szkoła,dane Zawód,dane Lista,dane Okręg wyborczy,dane Liczba głosów,dane Ślubowanie,dane Staż parlamentarny,klub,kadencja_chronologia
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0141c81c9e89ecf4c125684800325e77.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Edwarda Orłowska,,,,,,020 Ełk,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/021bf99be3943ce6c125684800325edc.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Rozalia Pilchowa,,,,,,051 Gorlice,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/02428bf54bd49b7ec1256848003258b4.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stefan Dybowski,,,,,,019 Białystok,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0291d6d5ee570477c125684800325a5e.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Jurek,,,,,,040 Katowice,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/03874baacf545757c125684800326310.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Henryk Wyrzykowski,,,,,,036 Wrocław I,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/03eb7e34b9be8765c125684800325821.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Dąb-Kocioł,,,,,,008 Zgierz,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/040af6ae962899aec1256848003261bf.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stanisław Tkaczów,,,,,,050 Rzeszów,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0539268221bc11c2c125684800325f3c.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Marian Potapczuk,,,,,,008 Zgierz,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0548a771d86ae9cdc125684800325ffb.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Bolesław Rumiński,,,,,,035 Kalisz,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/054b7ba529818090c125684800326164.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jerzy Sztachelski,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/062048b9b97b0b90c12568480032591d.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Piotr Gellert,,,,,,033 Świebodzin,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/06b806a5bf6ca33fc125684800325c7e.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Włodzimierz Lechowicz,,,,,,024 Gdynia,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/070ba3b7d8deb361c12568480032597d.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Wacław Gumiński,,,,,,022 Biskupiec,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/08b80a4ea48f2cccc125684800325905.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Kazimierz Gallas,,,,,,009 Pabianice,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/08ee68c1279c47dec125684800325ccf.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Łabuz,,,,,,049 Tarnów,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0971e06536c4981ec125684800325bff.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Julian Kubiak,,,,,,019 Białystok,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0981a9fad212570ac1256848003262ed.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Adam Wójcik,,,,,,002 Pruszków,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/098337f982ddb90cc125684800325c68.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Wiktor Labus,,,,,,040 Katowice,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0b2c8c1395e709bbc125684800326202.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Mieczysław Tureniec,,,,,,003 Płońsk,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0bafde8c4c64c787c12568480032618a.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Zygmunt Szymanowski,,,,,,lista państwowa nr 3,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0c67ff6e51d7b099c125684800325c41.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Adam Kuryłowicz,,,,,,040 Katowice,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0d25dd4e580d20fcc1256848003261ef.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Marian Tupalski,,,,,,035 Kalisz,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0d28ef4b2c73da8cc1256848003256ec.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Wacław Barcikowski,,,,,,050 Rzeszów,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0e05a5b4871f7e99c1256848003261d2.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Tomasiak,,,,,,015 Lublin,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0f1e533027b19490c125684800326029.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Władysław Ryncarz,,,,,,049 Tarnów,,,,"PSL-NW
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/0f5a23f8c2e997c8c12568480032593b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Lucjan Głowacki,,,,,,008 Zgierz,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/10140d0e2b9313b6c125684800326145.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Szczęśniak,,,,,,041 Będzin,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/101e57d31cedad02c1256848003261ae.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Tabor,,,,,,lista państwowa nr 3,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1047fb4d5bbcd197c125684800325b0a.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Koj,,,,,,045 Opole,,,,"bezp.
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/10823603b9959549c1256848003256c7.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Władysław Banaczyk,,,,,,031 Poznań,,,,"PSL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/112340bdd7061168c125684800325d5b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Mieczysław Marzec,,,,,,038 Legnica,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/11def87fa6c160a1c125684800325ded.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Franciszek Nijak,,,,,,035 Kalisz,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1257614130efb085c125684800325bf0.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Andrzej Krzewniak,,,,,,019 Białystok,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/130f3353f37e6a54c125684800325e8f.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Ozga-Michalski,,,,,,012 Kielce,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1379954e32a72a29c125684800325bbd.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jakub Krajewski,,,,,,003 Płońsk,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/141b2967d8eb6a2bc12568480032583e.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stefan Dąbrowski,,,,,,043 Gliwice,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/143614fbeb732e5ec125684800325e43.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Wincenty Okulicki,,,,,,038 Legnica,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/14d13828d54cb6ddc125684800325772.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Mieczysław Bodalski,,,,,,019 Białystok,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/15b6e79c2f5680cbc125684800325e8a.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Edward Osóbka-Morawski,,,,,,023 Gdańsk,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/190c02e2a2cef23dc125684800325f1a.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Maria Pol,,,,,,041 Będzin,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1931a5cfe50df1bfc125684800325ed0.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Bolesław Pietrzak,,,,,,004 Przasnysz,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/19dbd1bb3c388801c125684800325a13.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Helena Jaworska,,,,,,029 Szczecin,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1ba299fba33a7c2cc125684800326013.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Otylia Ruszczycka,,,,,,037 Wrocław II,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1bd1ae1afaaee5b4c125684800325c6e.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Oskar Lange,,,,,,lista państwowa nr 3,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1cbde218a6114591c125684800326211.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Henryk Wachowicz,,,,,,006 Łódź-Miasto,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1d60b4e574c92e6dc125684800325cc1.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Ignacy Loga-Sowiński,,,,,,006 Łodź-Miasto,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1e064966b8dca7bac12568480032568f.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Leon Adamowski,,,,,,020 Ełk,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1e3363e2ed4cdac2c125684800326125.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Karol Strzałkowski,,,,,,033 Świebodzin,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1edc1130fb95be9ac12568480032606b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Adam Sadrakuła,,,,,,037 Wrocław II,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1f54db49b1ce245bc12568480032571b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Bień,,,,,,015 Lublin,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/1fe3521490016944c1256848003262ad.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Witoszka,,,,,,016 Zamość,,,,"PSL-NW
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/208bcf61f3f4e2acc1256848003256b6.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Baczewski,,,,,,028 Szczecin,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/20cca825bae3f033c125684800325984.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Leszek Guzicki,,,,,,004 Przasnysz,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2244c8d2b8371a99c12568480032569a.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Eugeniusz Ajnenkiel,,,,,,037 Wrocław II,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/22a418e9c3248c9ac125684800326343.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Zdzisław Zajączkowski,,,,,,037 Wrocław II,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/22b117d92f7ef9ddc125684800325b02.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Dorota Kłuszyńska,,,,,,034 Gniezno,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/22e70de988a9ffc7c125684800325db6.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Władysław Młotecki,,,,,,033 Świebodzin,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/230924f3778f9c14c1256848003259b7.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Henryk Jabłoński,,,,,,lista państwowa nr 3,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2316a118b43a1f79c125684800325e96.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Palczewski,,,,,,011 Częstochowa,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2393c319b1935bdec1256848003257cf.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Leon Chajn,,,,,,lista państwowa nr 3,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/24e3f8f47e2a30c5c125684800325a29.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Emil Jerzyk,,,,,,051 Gorlice,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/253a146638992a31c125684800325fca.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Tadeusz Rek,,,,,,lista państwowa nr 4,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/257edf9a5f826f82c125684800325e37.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Edward Ochab,,,,,,041 Będzin,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/25f962f85be2314cc125684800325cba.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Marian Lityński,,,,,,037 Wrocław II,,,,"SP
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/25fa454c8b9d36d6c125684800325dc0.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jerzy Morawski,,,,,,039 Bolesławiec,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/27c1f4af9c14099fc125684800325867.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Edward Dobruś,,,,,,007 Piotrków Trybunalski,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/27f3580fba5b865bc125684800326138.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Henryk Szafrański,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/27fdef0e5cb173b3c125684800325fe8.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Witold Rogala,,,,,,036 Wrocław I,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/28450397826a1f14c125684800326217.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Andrzej Waleron,,,,,,012 Kielce,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/286ed7945f87410dc125684800325861.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stanisław Dobrowolski,,,,,,lista państwowa nr 3,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/28b99037e59c4d42c12568480032595c.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Ludwik Grosfeld,,,,,,029 Szczecin,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/28f5add0e210e5dcc1256848003257e6.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Piotr Chwaliński,,,,,,009 Pabianice,,,,"PSL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2998478d546ec77fc125684800325ec4.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Pieprzyk,,,,,,035 Kalisz,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/29c751628cb45c13c125684800325bb6.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Bogusław Kożusznik,,,,,,042 Bieslko,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2a14002d09a50a40c125684800325ef1.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Roman Piotrowski,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2a548ec0ab23ab8ac125684800325c86.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stanisław Leszczycki,,,,,,031 Poznań,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2a96cdbe76bd736dc125684800325787.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Romana Bosiakowa,,,,,,025 Bydgoszcz,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2aac8dac145283a7c125684800326387.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Żerkowski,,,,,,lista państwowa nr 3,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2ad1615a870407fac12568480032578d.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Arkadiusz Bożek,,,,,,044 Koźle,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2b21ec29ea1e63d7c125684800325ce5.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Zofia Łyżnik,,,,,,003 Płońsk,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2b2b858e38d4b427c12568480032630b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Czesław Wycech,,,,,,005 Mińsk Mazowiecki,,,,"PSL-L
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2ba660c080f7f4cfc125684800325956.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Gronkiewicz,,,,,,011 Częstochowa,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2bb34504151d7346c125684800325942.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Wiesław Gomułka,,,,,,036 Wrocław,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2d1f58dc02963fffc1256848003259ff.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Piotr Jaroszewicz,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2d771cbb000d6eeec1256848003260f5.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stanisław Stasiak,,,,,,042 Bielsko,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2da331b0d12f9e59c12568480032639d.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stefan Żółkiewski,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2dc93f819252807dc125684800325d6b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stanisław Mazur,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2ec3599c623bd11dc12568480032627c.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Wilanowski,,,,,,028 Szczecinek,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2efe84520fe54ab3c1256848003256f2.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Marian Baryła,,,,,,052 Przemyśl,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/2effaf8601579bc0c125684800325d9f.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Hilary Minc,,,,,,043 Gliwice,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/30fbe93b837da26bc125684800325cf2.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Józef Maciejewski,,,,,,029 Szczecin,,,,"SP
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/3134a628309e5d8fc125684800325855.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Henryk Dobrowolski,,,,,,047 Chrzanów,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/315dde1e9c353c67c125684800326299.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Kazimierz Witaszewski,,,,,,lista państwowa nr 3,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/316d4e2faa4ee967c125684800325d71.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Mieczysław Michałowicz,,,,,,lista państwowa nr 3,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/31b6912fcd66bd8fc125684800325cc8.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Henryk Lukrec,,,,,,lista państwowa nr 3,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/31f0cac947772a94c12568480032616a.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Michał Szuldenfrei,,,,,,lista państwowa nr 3,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/323213da977ec1a4c1256848003256c2.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Kazimierz Banach,,,,,,023 Gdańsk,,,,"PSL-L
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/32590ea181efefd8c125684800326291.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Witaszek,,,,,,046 Kraków,,,,"PSL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/32858f753c357a89c125684800325897.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Bronisław Drzewiecki,,,,,,007 Piotrków Trybunalski,,,,"PSL-NW
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/32d7565892d0c1a8c125684800325756.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Franciszek Blinowski,,,,,,027 Toruń,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/3400c2c8c25fc006c1256848003257b1.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Aleksander Burski,,,,,,007 Piotrków Trybunalski,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/34848fb433603117c12568480032594f.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Czesław Grajek,,,,,,032 Leszno,,,,"ZPPS
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/34d2de6967f22d92c125684800325ab9.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Kisiel,,,,,,002 Pruszków,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/34e17d2c27795272c12568480032612b.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Ryszard Strzelecki,,,,,,047 Chrzanów,,,,"PPR
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/3557ee2bd3ccdc3bc125684800325720.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Witold Bieńkowski,,,,,,018 Siedlce,,,,"Katolicko-Społeczny
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/35ed7642603b1910c1256848003259ec.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Stanisław Jaremczuk,,,,,,033 Świebodzin,,,,"SL
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/360e9ba4b1c78025c125684800326237.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Witold Wenclik,,,,,,019 Białystok,,,,"SD
",1947
orka.sejm.gov.pl/ArchAll2.nsf/f33c38663614447ac12568ac003d09e4/3871381d38861518c125684800325970.html,Posłowie Sejmu Ustawodawczego 1947 - 1952,Jan Grubecki,,,,,,003 Płońsk,,,,"SL
",1947
